#Name    TICID
Kepler-1249b 272719153
Kepler-1250b 158559861
Kepler-1251b 26583618
Kepler-1252b 268387099
Kepler-1253b 164557694
Kepler-1255b 271538318
Kepler-1256b 159763320
Kepler-1257b 272084528
Kepler-1258b 279918915
Kepler-1259b 273592350
Kepler-1260b 271759028
Kepler-1261b 48506742
Kepler-1262b 158794459
Kepler-1263b 158270568
Kepler-1264b 159177065
Kepler-1265b 164781761
Kepler-1266b 158167159
Kepler-1267b 268604100
Kepler-1268b 158630552
Kepler-1269b 158559018
Kepler-1270b 399826741
Kepler-1271b 120825510
Kepler-1272b 399794186
Kepler-1273b 279913214
Kepler-1274b 164781116
Kepler-1275b 270521167
Kepler-1276b 121333541
Kepler-1277b 138969285
Kepler-1278b 164413187
Kepler-1279b 121465371
Kepler-1280b 270616541
Kepler-1281b 27458799
Kepler-1282b 159301148
Kepler-1283b 184008951
Kepler-1284b 159726546
Kepler-1285b 123410927
Kepler-1286b 351766517
Kepler-1287b 158985675
Kepler-1288b 120577770
Kepler-1289b 184428068
Kepler-1290b 159450182
Kepler-1291b 122063936
Kepler-1292b 164830162
Kepler-1293b 267749620
Kepler-1294b 159721015
Kepler-1295b 159723041
Kepler-1296b 137410211
Kepler-1297b 159225841
Kepler-1298b 267667467
Kepler-1299b 120762000
Kepler-1300b 121865605
Kepler-1301b 158278132
Kepler-1302b 417678115
Kepler-1303b 164674711
Kepler-1304b 399819857
Kepler-1305b 273131845
Kepler-1306b 271040328
Kepler-1307b 63453366
Kepler-1308b 120693011
Kepler-1309b 171098231
Kepler-1310b 120043638
Kepler-1313b 63213622
Kepler-1314b 270955259
Kepler-1315b 271881331
Kepler-1316b 171502232
Kepler-1317b 63005467
Kepler-1318b 122442545
Kepler-1320b 121603556
Kepler-1322b 275490412
Kepler-1323b 63452310
Kepler-1324b 137090755
Kepler-1325b 164828023
Kepler-1326b 184417262
Kepler-1327b 299153388
Kepler-1328b 164778883
Kepler-1329b 47977416
Kepler-1330b 122595516
Kepler-1331b 169083837
Kepler-1332b 159578257
Kepler-1333b 138219367
Kepler-1334b 299217895
Kepler-1335b 164827658
Kepler-1337b 158324326
Kepler-1338b 120105633
Kepler-1339b 48354224
Kepler-1340b 272183546
Kepler-1342b 272942844
Kepler-1343b 27081773
Kepler-1344b 158394286
Kepler-1345b 63288941
Kepler-1346b 63066410
Kepler-1347b 172422725
Kepler-1348b 26582909
Kepler-1349b 405719110
Kepler-1351b 270609625
Kepler-1352b 290034960
Kepler-1353b 271960006
Kepler-1354b 137096633
Kepler-1355b 48354835
Kepler-1356b 159576968
Kepler-1357b 26472830
Kepler-1358b 158169713
Kepler-1359b 159102744
Kepler-1360b 239287622
Kepler-1361b 164525875
Kepler-1362b 121660595
Kepler-1363b 27990682
Kepler-1364b 27396284
Kepler-1366b 120421638
Kepler-1367b 158731868
Kepler-1368b 378159769
Kepler-1369b 120686458
Kepler-1372b 158843824
Kepler-1373b 120627712
Kepler-1374b 159722311
Kepler-1375b 272269239
Kepler-1376b 158386680
Kepler-1377b 158986227
Kepler-1378b 169459324
Kepler-1379b 138296836
Kepler-1380b 158633475
Kepler-1381b 399953616
Kepler-1382b 184014439
Kepler-1383b 273507060
Kepler-1384b 184418214
Kepler-1385b 123495717
Kepler-1386b 123201193
Kepler-1387b 63284044
Kepler-1389b 279913347
Kepler-1390b 264508835
Kepler-1391b 271253957
Kepler-1392b 158837572
Kepler-1393b 120255638
Kepler-1394b 164527695
Kepler-1395b 63204326
Kepler-1396b 270954695
Kepler-1397b 269030207
Kepler-1399b 275575346
Kepler-1400b 158212755
Kepler-1401b 121272493
Kepler-1402b 26540675
Kepler-1403b 122605691
Kepler-1404b 27766705
Kepler-1405b 184166357
Kepler-1406b 137483383
Kepler-1407b 120042828
Kepler-1408b 123496782
